utterances,labels
Please book the one at 30 Bridge Street. Can you also give me the postcode and phone number?,default
"I'll be dining Saturday at 7 pm, there are 3 in my party. Also, I need to know if there are any trains leaving Sunday going to Peterborough.",default
I would like to leave after 8:30 on Sunday.,default
"Real quickly, what is the travel time?",default
"No, that was all the information I needed. Thank you very much.",default
Hello. I'm looking for a moderately priced four star hotel in Cambridge. Can you make some recommendations?,default
I need internet but not interested in parking,default
"If there are no hotels, a guesthouse would be fine, I suppose.",default
"Yes please, I need to book for 5 nights starting saturday for one person. Could you please provide me with a reference number after booking?",default
Thanks. I also want to visit a museum.,default
It doesn't matter to me.,default
Sounds nice. Can you book a taxi to get me from the hotel to Broughton House Gallery by 11:45?,default
"No thanks, that's all I needed. Have a great day!",default
"Hi, I am looking forward to eat at your local restaurants on my upcoming trip. I have those planned, but could use some help with places to go in town.",default
"You know what, I change my mind. Let's look for an attraction for entertainment in the centre of town.",default
I am looking for a entertainment please.,default
No. I'm thinking it may be nice to visit a college. Can you please recommend one of those?,default
How far away is it from the All saints Church ?,default
"I would like the address, postcode and entrance fee.",default
thanks. now lets try for a restaurant again. i am looking for something cheap that serves asian oriental in the centre.,default
book for 3 people at 19:00 on sunday,default
Can you also arrange for a taxi for me?,default
The hotel and the restaurant.,default
That's all thanks.,default
Can you find me a theatre?,default
"Yes and I need to know the entrance fee, address, and phone number",default
I am also looking for a French restaurant in the expensive range.,default
"I am not sure how many people will be coming, so I will do that later. But can you provide me with their postcode and phone number?",default
"No, that's everything I needed today. Thank you!",default
Need a train to cambridge leaving after 11:45.,default
I would be leaving on Wednesday. I would be leaving from London Kings Cross.,default
Yes I would like to book for 2 people.,default
I would really love to have some chinese food while I am in town.,default
I would prefer the south if there is anything available there.,default
Let's go with Lucky Star please. What is the phone number?,default
No. That's all for now. Thanks for all your help. Bye!,default
I am looking to plan a trip I am looking to book some tickets at a place called Abbey pool and astroturf pitch.,default
What is the address?,default
Alright thanks for that. Can you help me find a train departing from cambridge on monday?,default
Sure I want to go to london kings cross and would like to arrive by 19:45.,default
I would like the 17:51 train please.,default
"Yes, please. Could you give me the total travel time and train ID for my records?",default
What is my departure time?,default
Thanks! That's all I needed. Goodbye!,default
I am looking for a place serving Indian food in the moderate price range,default
The area does not matter. The Curry Prince sounds good. Please book a table for 7 people at 19:30 on Tuesday.,default
Okay thank you. That will be all.,default
I'm trying to get some information on the thanh binh restaurant please,default
i need a address and the area please ?,default
I also need a train departing cambridge on thursday,default
"I'm heading into Norwich. I'd like to leave after 10:30, if possible.",default
I sure would. I need 8 seats please.,default
"That is all , thank you.",default
I am interested in booking a train to cambridge for next tuesday.,default
I would like to depart from birmingham new street after 14:45.,default
"Yes, that works! I would like the reference number please.",default
6 people please.,default
Great! I also need an expensive restaurant in the west that serves Persian for the same day and party as well please.,default
"Sure, how about one that serves indian food in that area.",default
Yes please for six people thank you.,default
"At 18:30, please.",default
Thanks. That's everything I need. Have a nice day!,default
I need a train leaving after 10:00.,default
i need to leave cambridge after 10:00 and go to norwich on monday.,default
"The first one is fine. I just need 1 ticket, please.",default
I would also like some where fun to go in the south of town.,default
I'd like one in the type of entertainment please,default
Could you give me more info on that place then?,default
"Thank you, that is all I need today.",default
"I am looking for some places to go, do you have any attractions in the east?",default
I really don't have a preference. Can you recommend a few?,default
Sure. also could you help me find a restaurant serving unusual food in the same part of town?,default
How about Italian?,default
Can I get the postcode and phone number please?,default
Thank you so much. I think that's all I need.,default
I forgot to ask; what is the postcode for the Cambridge Museum of Technology that you mentioned earlier?,default
"No, that should do it, thanks!",default
I am wanting to book a train arriving in Stevenage by 19:15. Can you help me?,default
I will be leaving cambridge on Thursday.,default
That sounds good. What is the travel time for that train?,default
No need to book a ticket. I can take care of that later. But thank you. Have a nice night!,default
"Hi, I am excited to visit some of Cambridge's tourist attractions soon. Can you help me find a place to stay?",default
I would like it to be in the East.,default
I would like it to be in the moderate price.,default
Can you give me the star rating of the place?,default
No booking right now. I'm also looking for a museum.,default
"I do not have an area preference, can you recommend a museum?",default
"Sounds nice, can you just give me the address & area?",default
Thank you. I think that's everything I need today.,default
Cheers to you too.,default
I'm looking for a place. I think it's called like Bridge House or Bridge Guesthouse or something.,default
Could you book it for 3 people and 4 nights starting from thursday?,default
"Okay, book it for 4 nights starting Saturday.",default
"Thank you, that's all I need. Good bye.",default
Can you help me find a train going to leicester that arrives by 15:15?,default
I will be leaving on Thursday.,default
I would like to catch an early train. What time does the first train depart?,default
Okay how much is it per ticket?,default
Yes book one day,default
"Yes, can you help me find a place to go to in town?",default
I'd really like to visit a museum.,default
"no, please surprise me.",default
"Yes please! Could you kindly provide me with the phone number, post code, and the entrance fee I'd have to pay?",default
Thank you. That is all I need at this time. Goodbye.,default
Hello. I need a College to visit in the Centre of town.,default
"Oh, nice! Can you tell me their phone number, please?",default
Also would like to find a place to dine. Chinese and moderate prices.,default
"Sure, can I get the address, area, and postcode for shanghai family restaurant?",default
No that's all the info I needed. Thank you for being so helpful. Bye.,default
I am looking for a train that leaves Sunday and heading to London Liverpool Street.,default
Depart time does not matter but I need it to arrive at 18:00.,default
"Yes, for one please.",default
Excellent. I also am looking for a restaurant as well. It's called the sitar tandoori.,default
"No, any location is fine.",default
Please make sure you reserve my table for 13:30 on the same day and I'll need a reference number.,default
"No problem, can you please try 12:30?",default
Can I have the reference number.,default
No that's all. Thank you!,default
help me get a taxi to the cambridge museum of technology please,default
I'll be departing from rice boat,default
Have the taxi leave after 13:45 please,default
I need a place to stay in the north,default
I'd really like to stay in a guesthouse. I heard the ones in Cambridge are very nice.,default
Is it in the north? And do they have free parking?,default
Do they have a room available for 5 people starting Tuesday? We will need it for 5 nights.,default
Yes. I need to travel from Cambridge to London Liverpool Street on Sunday. Can you help me find a train?,default
Not really. Can you check again? I need to get to London Liverpool Street by 19:00.,default
What would be the next available if not on Sunday?,default
TR0189 departs Cambridge going to London Liverpool Street?,default
"Yes, please. I need 5 tickets.",default
"Thank you, goodbye!",default
I am looking for a brazliian restaurant in the centre.,default
There are no Brazilian restaurants anywhere in Cambridge?,default
"Yes, what about british food please.",default
Something in the moderate price range would be good.,default
"Yes, the centre is preferable.",default
Sounds good! Please book a table for 6 people at 13:00 on Monday.,default
"Thanks. Yes, I also need a train from Cambridge to Ely, please.",default
"Thank you! Anytime is fine, as long as I arrive by 12:30 on Thursday.",default
Yes please book for 6 people,default
Thank you. That was all I needed today. Goodbye.,default
I am looking for a cheap hotel with free parking near Cambridge.,default
"I'd like to stay close to the center area, but the hotel should be 3 star.",default
Are there any moderate 3 star hotels with free parking?,default
How about one in the moderate price range?,default
I don't have a preference but I would also like ot find a restaurant called the Cow Pizza Kitchen and Bar.,default
Does it have internet?,default
Sounds great. What is the address and contact information?,default
"That's not necessary, thank you. You could, however, find me a restaurant a friend mentioned. I think it was called the Cow Pizza Kitchen and Bar.",default
May I have the address for The Cow Pizza Kitchen and Bar please?,default
I would like a taxi for the hotel by 13:45 to get to the restaurant please.,default
What is the car type for the taxi?,default
"Thank you, that will be all I need.",default
"Hi, I need to find a train to cambridge, please.",default
I want to leave from Stevenage on Saturday.,default
"Yes, I would like to arrive by 12:30.",default
That is all. Thank you.,default
"Actually, can you give me the reference number?",default
That's all thanks !,default
"Hello, I'd like some information on a restaurant.",default
"I want british food. In the east, please.",default
"I will need it for Saturday, 7 people at 17:45 please.",default
I am also looking for a train on sunday.,default
I'll be leaving Sunday from Cambridge and heading to Birmingham New Street. I need to arrive by 19:15. I need to book this for 7 people. Rererence number?,default
Thank you so much. That's all I need today.,default
"Hello, I need a train to Norwich please. I need to be there by 08:45.",default
I'll be leaving Cambridge on Thursday.,default
is there anything else that arrives closer to 8:45 like I requested?,default
"No, TR2266 will work, could you get me tickets for 5 people and a reference number?",default
I also need a place to stay with 4 stars that include free wifi.,default
No but I would like it to be in the north.,default
"No, thank you. I'll just need to know the hotel type and address, please?",default
"No that will be all, thank you.",default
What's your favorite college to visit in Cambridge?,default
"I think I would like to visit that location, It seems nice. Could I get the phone number and the area?",default
"Actually, I'm hungry. Can you find me a restaurant that serves north american food? Something not super expensive, maybe in a moderate price range?",default
How about modern European food?,default
"I would prefer the one on the centre, could I have the phone number and postcode please?",default
Could you help me get a taxi to get from the college to the restaurant?,default
I would like to leave at 12:45.,default
That's it. Thank you very much.,default
"That is all , thanks for the help.",default
I need a taxi at Ian Hong House to leave by 14:45.,default
I want to go to the Leicester Train Station.,default
Thanks for the quick response.,default
I'm looking for a museum in the east to visit.,default
Sounds wonderful! Can you give me their postcode?,default
I'm also looking for a restaurant in the east part of town in the moderate price range.,default
give me the address of the one you recommend,default
"Not at this time, thank you.",default
I am looking for a hotel in the north.,default
I want one of the hotels in the moderate price range please.,default
Which one of them has free parking?,default
"No, no thank you. I just needed some info for a later date. I am also wanting to see if you can tell me about the River Bar Steakhouse and Grill.",default
Can you book it for me and get a reference number ?,default
"3 people, Saturday, 16:30. Please give me a reference number.",default
"Yes, I'm also interested in booking a taxi too.",default
I need to arrive at the River Bar Steakhouse and Grill at 16:30. I am coming from the Lovell Lodge.,default
"Ok great, thank you. That is all I need today.",default
I'm looking for a train. The train should go to birmingham new street and should depart from cambridge.,default
"Yes, the train should arrive by 21:30 and should depart on Sunday.",default
"The one that arrives the closest to 21:30, please. I will need the price and the train ID.",default
Thank you. I am also looking for a place to stay that is in the north side of town.,default
I would prefer a place with a star of 4 that includes free parking and free wifi.,default
"Yes, please. I need a price range and phone number.",default
I would like a moderate hotel with free wifi and parking.,default
"Yes, choose for me! That sounds exciting! Try something new! Just decide and then give me the hotel-type, price range, and phone number! This is so cool!",default
"I wouldn't like to book a stay today, but thank you. Am I right in assuming that it's a guesthouse and not a hotel?",default
"No, that's all! Thank you!",default
can you help me find some attractions in the east part of town?,default
Can I have the number please?,default
"Yeah, I need a restaurant. They need to serve Indian food and be in the same area as Funky Fun House.",default
I would prefer one in the moderate price range.,default
Can i also have their phone number and postcode?,default
That is all I need.,default
I am looking for a cinema in cambridge.,default
"That's great, thank you for your help!",default
Any area is fine. I'm also looking for a restaurant in the centre that serves spanish food.,default
I would like something that is on the cheaper side.,default
"Yes, I'd like a table for 8 at 11:15 on Sunday.",default
Yes I need a taxi between cinema and restaurant. What do you recommend?,default
"I suppose the one in the centre makes more sense, since it's close to the restaurant.",default
"Yes, that would be great. I need to make it to the restaurant by 11:15.",default
"No, thank you, that should be all.",default
I need the schedule of the the Train going to Ely on Tuesday.,default
My leave time is flexible. I just need to arrive by 14:30.,default
I will be departing from Cambridge.,default
"Yes, I do need tickets.",default
"Well, I can do the booking myself. Can you help me find a hotel instead?",default
It doesn't matter as long as it is 3 stars. It doesn't need to include internet.,default
Could I please book it for 5 people for 3 nights starting from Saturday?,default
"Great, that is all I need. Thank you for your help.",default
I want a train leaving from kings lynn.,default
"Cambridge, leaving on Wednesday after 12:00.",default
Yes. Book it for 3 people.,default
Can you recommend some places to go in the centre?,default
"I'd like a museum. But I will need the entrance fee and phone number. You can pick one for me, please.",default
"That's it, thanks for your help.",default
I need a train from London Kings Cross to Cambridge.,default
"sure, I would like to go on Saturday, and arrive by 20:20. As close to that time as I can arrive.",default
"Yes, let me have 7 tickets, please.",default
"No, that's all I need. Thanks.",default
Yes I am looking for information on a restaurant called Bangkok City.,default
"Yes, 5 people, friday at 14:15.",default
Oh no. Can you get us in at 13:15 then?,default
Thanks! That's all I needed today - goodbye!,default
"Hi, can you help me find an architecture based attraction to go to?",default
Any church will be fine. Can you give me the phone number of one?,default
Cool. I need a restaurant called the slug and lettuce too.,default
"No thank you. Could you tell me what area of town The Slug and Lettuce is in, though?",default
That's all I need. Thanks for your help.,default
"Yes, you have been such a help!",default
Hello! I'd like to eat at a cheap restaurant in the north. Any ideas for me?,default
Can you tell me more about the indian restaurant please?,default
Can we make a reservation at Royal Spice?,default
It will be for 6 people at 16:15 on monday.,default
Sure. How about 15:15 on monday?,default
Also can you book me a train for Monday? I want to arrive by 08:45 in Cambridge. I'm coming from stansted airport.,default
Yes. What is the reference number for the tickets please?,default
Thank you so much for your help. That is everything I need.,default
"Hello. I'm going out for an expensive dinner and need to find a restaurant. I'd like somewhere in the north, and I'm willing to pay quite a bit of money.",default
"Yes, Romanian please.",default
I guess try European.,default
"Is it in the north? If so, can you reserve us a table for 3 on Friday at 17:45 please?",default
How about at 16:45?,default
I'm also looking for a place to stay that offers both internet and free parking.,default
"Hmm, yes. Someplace expensive.",default
"Great, can you make a reservation for three people for the three nights starting Friday please?",default
"No, I need it to be Friday. Can we try it for a one night stay instead?",default
I'm going to need a taxi as well from the hotel to the restaurant that arrives at 16:45. Could I get the contact number and car type for that?,default
"No, you have been most helpful. Have a nice day.",default
I am looking for a attraction to see in Cambridge located in the centre,default
"It might. Can you please tell me the entrance fee, address, and phone number of All Saints Church?",default
I also need a train to ely.,default
I need to travel Sunday after 11:00 from Cambridge.,default
"Yes, it would. Can you tell me what the travel time is?",default
Thank you can you please book it and send the reference number.,default
I don't need to book at this time actually. That's all that I needed. Thank you for your help! Goodbye!,default
I need a taxi please. I'll be departing from grafton hotel restaurant,default
I need to leave after 16:45.,default
I would like to get to the Jinling Noodle Bar.,default
"Nope, that'll do for now. Thank you!",default
Hello. I'm looking for a cheap place to eat in the centre. Can you help me?,default
"Yes, I'd love Chinese.",default
"Sure, pick your favorite and let me have the address, postcode, and phone number please?",default
Yes please make me a reservation.,default
"Actually, I don't need a reservation right now. The restaurant information was all I needed. Thanks for your help.",default
I need help finding the Aylesbray Lodge Guest House. Would you be able to give me the address and phone number?,default
"Could you also let me know the star rating of the hotel, phone number and I'd also like to know if they have wifi.",default
I am also looking for a restaurant called the Michaelhouse cafe.,default
Wonderful! Thank you for your help.,default
"No thank you, that's all I need, you have been very helpful. Have a good day",default
i am looking for a place to stay. The hotel should include free wifi and should include free parking.,default
"A guesthouse, please. Are there any in the cheap price range?",default
"Great, could you give me their phone number and address please?",default
"Yes, I'm looking for a museum in the west.",default
"Could I get the area, phone number, and address of the Kettles yard?",default
What is the area?,default
What is the postcode?,default
"no, that will be all. Thank you! goodbye.",default
I would like a taxi from Saint John's college to Pizza Hut Fen Ditton.,default
I want to leave after 17:15.,default
Thank you for all the help! I appreciate it.,default
"No, I am all set. Have a nice day. Bye.",default
I'm looking for information about People's portraits exhibition at girton college,default
Could I have the phone number please?,default
I'm also looking for a train departing from cambridge.,default
"Yes, I'm going to Birmingham new street. It's on Thursday and I'd like to arrive by 15:30.",default
"No need to book it, but can you tell me the price?",default
That's it for me. Thanks!,default
I want to find a brazilian restaurant that is cheap.,default
Do you have any restaurants in the centre?,default
How about a Italian restaurant located in the centre,default
"No, which one would you recommend?",default
Book a table for 1 on friday at 19:45 please. I'll need to have the reference number.,default
Excellent. I'm also looking for the allenbell hotel. Do they have free parking and what type of hotel are they?,default
"Yes, I need the room for one guest only. Thank you.",default
Alright. Thanks for the help.,default
"I'm looking for a hotel with free wifi and at least a three-star rating, please.",default
I would like a hotel that has free wifi and free parking. It should be moderately priced with a 3 star rating.,default
Moderate priced anywhere in town please.,default
There aren't any 3 star hotels that offer free wifi and park that is moderately priced?,default
I am not particular. Where are they located?,default
I would like whichever one is cheapest please.,default
That won't be necessary. I'm looking to book a train too.,default
I need to leave Friday. I need to arrive in Cambridge by 20:30.,default
I am departing from London Liverpool Street.,default
Sure. How long is the travel time please?,default
"No on the hotel. What is the train id for that one, and how long is the travel time.",default
"No, that would all right. I'll do it myself.",default
"No, if you're sure there are no 3-star moderately priced hotels with free parking then there's nothing else you can do for me.",default
Is the hamilton lodge a hotel or bed and breakfast?,default
That sounds perfect.,default
Go ahead and make a reservation please.,default
"I would like to stay for 2 days, and it will just be me.",default
I do not believe I need a reservation. I have everything I need today. Thank you.,default
"Need restaurant in the east, expensive is what i'm looking for",default
Could you recommend one with the food type?,default
Excellent. Let's go with that.,default
"No thanks, I need a train from Cambridge to Stevenage that arrives by 08:00 on Saturday. Is there anything like that?",default
"Yes that sounds good, albeit a bit early. Can you book tickets for 4 people on that one, please?",default
"Yes, I just need a reference number.",default
"Great, that is all. Thanks for your help.",default
That is all I need. Thank you so much and have a great day.,default
I need a train leaving after 08:15 going to cambridge. Thank you.,default
I want to leave from Peterborough on Saturday.,default
"Yes, can you book for 4 people.",default
I need the reference number.,default
"Yes, please. I'm also looking for a 4-star hotel with free parking. I'd like something moderately-priced, if possible.",default
Sounds great.. Can I have more information,default
Ive heard good things about the acorn guesthouse. What is their phone number? And do they have free wifi?,default
No that's all right have a great day!,default
Can you tell me about the Cambridge Belfry?,default
Can you get me the phone number? I like that they have free parking. That sounds great. Thanks!,default
Do they have free parking?,default
"Yes please. Also, i need a train that needs to get there around 20:30. Can you look that up as well?",default
"Monday, thank you. I'll be departing from leicester to cambridge.",default
"Yes, can you book 2 tickets please and also could i get a reference number when you are done? Thank you.",default
Thanks for all your help!,default
I am looking for a place to stay. The hotel should include free wifi and should include free parking,default
north area in a guesthouse,default
It doesn't matter as long as I can book it for 2 people and 2 nights starting Thursday.,default
"No, I am not picky.",default
how about wednesday instead?,default
Yeah try a different place. Anywhere that meets my requirements,default
Yes please try it.,default
"That was everything, thanks.",default
I'm looking to find a place to eat in the centre of town that needs to have a moderate price range. Can you give me some options?,default
Is there a Lebanese option? I'm really craving some Lebanese right now.,default
Can you please get me a reservation at Ali Baba for tonight at 7PM?,default
"Actually, can I just get the address there for now please?",default
That's all I need. Thanks for your help!,default
Get me an expensive place to eat in the centre please,default
"Yes, I prefer British food.",default
That sounds great. Can you make a reservation for me there for 4 people at 17:30 on saturday?,default
"Perfect, thanks. Thats all I need for today.",default
"you're right, i'm stupid. thanks for checking. i also need a train.",default
I want to leave after 13:00.,default
I will be travelling to Birmingham New Street.,default
I will need to travel on Saturday and I already said when I'll need to leave. Give me the arrival time and price please.,default
Thank you. That should cover it.,default
No that is all for now. Thank you and Goodbye.,default
"I'd like to find a hotel with free wifi and free parking, please.",default
"Cambridge, in the east with a 4 star rating I am sparing no expense.",default
Yes I just am looking to get the phone number of one.,default
Thank you so much. I would also like help finding a train to Cambridge on Tuesday.,default
I will be leaving leicester and would like to arrive by 20:45 in cambridge.,default
I will book it later but can you tell me the price per ticket.,default
"No I think that's all I need right now, thanks so much.",default
Are there any trains leaving from stansted airport on sunday?,default
"Yes I would like to leave Cambridge after 16:00, and departing from Stansted airport and leave on Sunday.",default
"Yes please, make the reservation for 6 people and send me the reference number.",default
Can you also help me with information on the hotel home from home?,default
I would need to book the hotel for 6 people for 2 nights on Sunday as well.,default
Is that at the Home From Home. That is where I want to stay.,default
"Thank you, that is all I need.",default
"Actually I'd like to book that hotel for two nights, starting Sunday for 6 people for two nights. I'll need a reference number as well.",default
"No, that is all I need. Thank you.",default
I need a train to stansted airport that leaves on Sunday.,default
I need to arrive by 14:30.,default
That is perfect. I would like to make a booking for 6 people please.,default
i need to eat too,default
I'd like Catalan food. It needs to be in the centre and be expensive.,default
what about one that serves european food in the same side?,default
Yes please do and then make me a reservation for 6 people at 10:15 on a Sunday.,default
"No, that's all. Thanks! Goodbye.",default
"Hi, could you recommend any local cinemas in the area? I'm looking for any places that are near the centre.",default
"Yes, please. I would also like to know the entrance fee and phone number for that cinema.",default
I also want information on any trains that depart from broxbourne to cambridge.,default
I want to leave on a Tuesday and arrive by 21:00.,default
It doesn't matter when I leave by.,default
"No thanks, I'm just gathering information. Could you give me the ticket price of the 05:32?",default
Thank you very much for the help!,default
Is there a restaurant that serves italian food in the expensive price bracket?,default
Absolutely! Thank you!,default
How about the center?,default
"That sounds good. No I don't need a reservation, but could you tell me the postcode?",default
No thanks. That will do it for me. Have a good day.,default
Can you help me find a train leaving thursday departing from london liverpool street?,default
I don't have a preference but I do need to be in Cambridge by 15:00.,default
What is the price of the ticket and departure time?,default
Thanks. I also need to find a guesthouse with free wifi.,default
"No tickets for the train. I would like a guesthouse in the east that is expensive, please.",default
How about in the cheap price range instead?,default
"Yes, could you book it for 5 people for 3 nights starting thursday?",default
Thanks! Have a wonderful evening. Goodbye.,default
"Hi, I want to visit a museum.",default
Any area is fine. Perhaps the centre area if there is a good one there.,default
"yes phone number and postcode,thank uyou",default
As a matter of fact yes. I need a train that leaves after 13:15 on Saturday,default
I will be coming from Kings Lynn to Cambridge.,default
Yes please book that for 8 people.,default
"No, that will be all for today. Thanks for your help today. It's been appreciated.",default
"Hey, are there any interesting attractions in towncentre today?",default
Great. What is the phone number?,default
"Thank you, are there in Korean restaurants in the centre area?",default
No thanks. I do need the phone number and post code.,default
"Thanks. I will need a taxi to get from the church attraction to the restaurant, please.",default
I'd like to leave at 11:45. Can I have the contact number and car type please?,default
"No that is all, thank you!",default
Can you help me find a place to stay that has a 4 star rating?,default
Thank you. I am looking for a hotel in the west part of town.,default
I do not have a preference on price as long as it has a 4 star rating and is a hotel.,default
"yeah, can you let me know if it has free parking?",default
"Yes, please book for 1 person for 4 nights starting from Thursday.",default
That's all. Thanks,default
"On second thought, I am looking for a train to Cambridge, leaving Biships Stortford.",default
I would like to leave on Thursday after 12:00.,default
yes book for 1,default
i need a place to stay,default
I don't. I will need a guesthouse with at least 4 star. It should also have free wifi.,default
"No, just choose one please. I'll need to book it for Saturday, 3 nights, and 6 people.",default
Thank you. The next thing I need is a train from Cambridge to stevenage.,default
I will be traveling on and need to leave after 18:45.,default
sunday please ?,default
"Yes, please. There are six of us who need on it.",default
That is all. Thank you,default
I'm trying to plan a trip there but need a cheap place to stay.,default
"Hmm, I'm looking for a place in the west. It doesn't need to include internet.",default
okay do they have free wifi?,default
Okay. Sounds good. Can you tell me the type of hotel and provide me with the hotel's phone number?,default
You sure can. I'm also quite hungry. Do you have any info on a restaurant called Wagamama?,default
That's fine. I would just like to book a reservation for 1 at 18:45 on Sunday. & may I have the reference number?,default
I'll need a taxi to get me from the hotel to the restaurant.,default
I need the tax to get me to the restaurant by 18:45 so that I can make our booked time.,default
"I think that is all, bye.",default
I need a taxi departing from golden wok.,default
I'd like to leave after 17:30.,default
I'm going to holy trinity church.,default
I will look for the yellow skoda after 17:30. Thanks for all your help.,default
not really. am good to go,default
Yes I am looking for a place to eat in south Cambridge that is more on the expensive side.,default
I would prefer vegetarian food.,default
I would like to try chinese food then.,default
I want a table for 6 people at 11:30 on tuesday.,default
Yes I'm also looking for a train to arrive at 8:15,default
I will be departing from London Kings Cross and need to arrive in Cambridge by 08:15.,default
I will be departing Tuesday.,default
Actually I am departing from London Liverpool Street. I need a train to Cambridge on Tuesday that arrives by 8:15.,default
How much does the ticket cost?,default
Great. Thank you very much for your help today.,default
I am going to Cambridge and need a place to eat that serves lebanese food and is cheaply priced.,default
What kind of cheap restaurants are there in the center of town?,default
how about one that serves indian food?,default
"That sounds great. I need a table for 6 at 16:30 on Saturday, please. And I will need the reference number once it's booked.",default
I need to book a train on Sunday as well.,default
I'm departing from cambridge.,default
The train should arrive in broxbourne by 08:45.,default
I suppose I will book the train arriving at 7:01. Please provide me with the reference number.,default
I need to make a reservation for the same group of people. May I also have the reference number?,default
"No, that's all I need. Thank you for all your help today!",default
I'm looking for a place to stay. I'd like to stay in a guesthouse that doesn't need to include internet.,default
Is that in the center of town? I do need to be in the center.,default
"Yes, please make my reservation at the Alexander Bed and Breakfast.",default
Could i get the phone number?,default
That's fine. Can I please have the phone number?,default
"Yes, may I have the address?",default
I'm also looking for a restaurant that is in the expensive price range and serves spanish food.,default
Is there a restaurant in the expensive price range that serves british food?,default
I don't care,default
"Let's go ahead and make a reservation for 6 at 19:30 for this coming Wednesday. Oh, and can I get that reference number, too, please?",default
Thank you for your time.,default
No. That sounds like everything. Thank you.,default
"Yes, I hope so. Are there any Chinese restaurants toward the east end of town?",default
Great can you book a table for 1 at 19:30 on monday?,default
I think that takes care of everything. Thanks!,default
I'd like to book a taxi to take me to cineworld cinema from gonville hotel,default
I'd need to arrive by 15:45 please.,default
"Ok thanks, that's all I need!",default
"That's it, thank you",default
I am trying to find out about trains that arrive in Cambridge,default
I want to arrive by 16:15,default
I will be departing from stevenage and going to cambridge.,default
I am looking to travel on Monday.,default
"That should work! I will also need a place to stay. I am looking for a guesthouse in the centre of town, in the expensive range. It should include free wifi as well.",default
"Sure, let's look at hotels instead, then.",default
Do either of them have free parking included?,default
Could you provide the details?,default
"Yes, this seems alright. Go ahead and book it.",default
"No, actually, I'm not ready to book yet. That is all I need for today. Thanks. Bye.",default
Thank you. I will call back when I am ready to finish my booking.,default
I'm looking for a pool somewhere in the south of Cambridge.,default
How about some type of theater?,default
"Yes, please provide the address and postcode as well.",default
"Thanks. Yes, I also need to find a guesthouse for my stay there.",default
The area should be the centre. I need it to be cheap and have free parking.,default
What is the star ratings for them?,default
"Ok great, thank you. I also need to book a taxi to get back and forth.",default
I'll be leaving the theatre at 14:45 and going to the guesthouse.,default
Let's go with the Alexander Bed and Breakfast.,default
"Cool beans! Sorry I was so much trouble. Thanks so much for all of your help, you need a raise dealing with customers like me!",default
"Hello, can you help me find a train to Broxbourne on Thursday please?",default
I need to be in Broxbourne by 08:00.,default
If it leaves Cambridge and gets to Broxbourne at 7:01 I'll take it. I need a ticket for 1 person and a reference number please.,default
I'm looking for boat related attractions in the west.,default
What about colleges in the west?,default
"Ok, can you recommend one and give me their phone number",default
No. Thank you that's all I need!,default
I'm looking for a restaurant that serves canapes food. Expensive range should do it.,default
hmmm. Can you check again? it should be in the centre.,default
Could you try a restaurant that serves british food instead?,default
"That sounds fine, can you reserve a table for 3 people at 13:00 on Tuesday?",default
I do need 4 star hotel as well.,default
I would like it to be in the expensive range too.,default
Does either have free wifi?,default
"Great, either one is fine. I need a reservation for 3 people for 3 nights starting Tuesday. If 3 nights is not available try 2 nights and reference number.",default
"No, thank you. That's it for today.",default
"you too, enjoy the rest of your day.",default
I'm starving! Can you find me somewhere to eat on the south side of the city? Money is no object so please find me something expensive.,default
"Whichever one you recommend, as long as its expensive. I'll need a reservation for 4 at 15:45 on saturday.",default
"Yes, could you please recommend some places to go after we get done eating that are near the restaurant as well?",default
"The ""Place"" sounds good, can I get its postcode, please?",default
"No, that's all I need. Thank you so much for your help.",default
I need to find a particular train that will arrive at 16:30 and will leave on Saturday. I would appreciate it if you could help me.,default
I'm coming from Peterborough and going to Cambridge.,default
"Yes please, can you make the reservation for 7 people and then send me the reference number.",default
Yes. I am looking for a restaurant that serves modern eclectic food and is in the moderate price range.,default
How about one that serves indian food?,default
"The east is fine. May I have the address, phone number, and postcode?",default
"No thank you, that will e all.",default
"Hello, I am looking to book a train that will be departing Cambridge after 13:15.",default
I'd like to go to Birmingham New Street on Thursday and leave after 13:45. Do you have anything that would work for me?,default
"That should work, what is the travel time on that?",default
That works. I'm also looking for an attratiction that is college type.,default
"No particular area, what's the first one on the list?",default
"That would be great, thanks.",default
No I'm all set. Thanks for the help!,default
"Thanks, you too!",default
"Hi, can you help me find a Caribbean restaurant to eat at on my upcoming visit?",default
Can you please look for an Italian food restaurant?,default
I'm looking for a italian place in the moderate price range. Can you suggest one and make reservations please?,default
"Yes, that sounds great, thank you. I want to book a table for 4 people at 15:15 on Wednesday. I'll also need a reference number.",default
I also need a train going to cambridge and departing from birmingham new street.,default
Wednesday and needs to arrive by 12:00.,default
No thank you. Could I get a price on those tickets though?,default
can i also get the travel time please?,default
That is all I need today. Thank you for your help.,default
I'm looking for a place to stay. It needs to be a guesthouse and include free wifi.,default
I would like for it to be cheap and include free parking.,default
"Nothing in particular. I just need it booked for 6 people for a total of 4 nights starting from sunday. I'd also like the reference number, please.",default
"Well, for six people I suppose I will be needing three rooms, for four nights, starting Sunday.",default
Thank you! I'm also looking for a restaurant. Ideally an Italian place in the same price range in the centre.,default
Is the name of the restaurant Ask restaurant?,default
Yes. Book it for the same group of people on the same day at 18:45. Can I get the reference number please?,default
